movie,recommendation
Money Train,"['Showtime', 'Coonskin', 'The Hard Way', 'Shakedown', 'Heart of the Dragon']"
Get Shorty,"['Swimming with Sharks', 'Incognito', 'Love at Large', 'Blame It on the Bellboy', 'The Pickle']"
Copycat,"['Kalifornia', 'Chronicles', 'Frisk', 'Tightrope', 'The Ugly']"
Assassins,"['Fulltime Killer', 'Diary of a Hitman', 'The Fifth Commandment', 'The Blue Angel', 'Harsh Times']"
Powder,"['Caught', 'The Nines', 'Die, Monster, Die!', 'Happenstance', 'Paprika']"
Leaving Las Vegas,"['Radio Inside', 'Supercross', 'Finding Amanda', 'Heart and Souls', 'Afterglow']"
Othello,False
Now and Then,"['Eulogy', 'The Grass Harp', 'The Inkwell', 'It Runs in the Family', 'Radio Days']"
Persuasion,False
The City of Lost Children,"['A Very Long Engagement', 'Delicatessen', 'Counter Investigation', 'Taxi 4', 'Taxi 2']"
Shanghai Triad,"['Rashomon', 'Rope', 'Nine Queens', ""What Doesn't Kill You"", 'SPL: Kill Zone']"
Dangerous Minds,"['2:37', 'Light It Up', 'Kick-Ass', 'Born Rich', 'Heart of America']"
Twelve Monkeys,"['Day of the Dead 2: Contagium', 'The Forgotten', '28 Days Later', 'The Invasion', 'Final Approach']"
Babe,"['Babe: Pig in the City', 'Gordy', 'Porco Rosso', ""The Best Man's Wedding"", 'Disco Pigs']"
Carrington,"['For a Lost Soldier', 'Close My Eyes', 'Kiss Me Again', 'One from the Heart', 'The Situation']"
Dead Man Walking,"['Cradle Will Rock', 'In the Realm of the Senses', 'Dare', 'The Country Girl', 'The Road Home']"
Across the Sea of Time,"['The City', '13B: Fear Has a New Address', 'Young Black Stallion', 'Household Saints', 'It Runs in the Family']"
It Takes Two,"['The Parent Trap', 'The Parent Trap', 'Same Time, Next Year', 'Camp Nowhere', 'Head Over Heels']"
Clueless,"['Anywhere But Here', 'Loser', 'Moonstruck', 'I Could Never Be Your Woman', 'Mad About Mambo']"
"Cry, the Beloved Country","['Red Dust', 'Against the Ropes', 'City By The Sea', 'Tsotsi', 'Japón']"
Richard III,False
Dead Presidents,"['Midway', 'Never Die Alone', 'Land of Plenty', 'The Fog of War', 'Born in Flames']"
Restoration,"['David and Bathsheba', 'The Fifth Musketeer', 'King Rat', 'The Slipper and the Rose', 'When We Were Kings']"
Mortal Kombat,"['Mortal Kombat: Annihilation', 'Lara Croft: Tomb Raider', 'Sinbad of the Seven Seas', 'Godzilla: Final Wars', 'Last Action Hero']"
To Die For,"['Nicotina', 'Tainted', 'The Comedians of Comedy', 'Holy Man', 'French Cancan']"
How To Make An American Quilt,"['Trash', 'I Love You, I Love You Not', 'Here Comes Mr. Jordan', 'Gross Anatomy', 'If Lucy Fell']"
Se7en,"['Kalifornia', 'Zodiac', 'The Bone Collector', 'The Cell 2', 'Tightrope']"
Pocahontas,"['The Other Side of Heaven', 'Swiss Family Robinson', 'Heimat: A Chronicle of Germany', 'Dance with Me', 'The Dawn Rider']"
When Night Is Falling,"['A Price Above Rubies', 'Cooking With Stella', 'The Hi-Line', 'The Green Ray', 'Wild River']"
The Usual Suspects,"['SPL: Kill Zone', 'Rashomon', 'Innocent Blood', 'Double Jeopardy', 'Nine Queens']"
Guardian Angel,"['When Strangers Appear', 'Diva', 'The Hi-Line', 'Def-Con 4', 'Valmont']"
Mighty Aphrodite,"['The Boost', 'Mamma Mia!', 'Take the Money and Run', 'Stardust Memories', ""A Midsummer Night's Sex Comedy""]"
Lamerica,"['Foreign Land', 'The Situation', 'Mafioso', 'Ten Benny', ""Once You're Born You Can No Longer Hide""]"
The Big Green,"['Father Hood', 'Cockles and Muscles', 'Spider Baby', 'Johnson Family Vacation', 'The Castaway Cowboy']"
Georgia,"['Marianne and Juliane', 'Mermaids', 'Crimes of the Heart', 'Truth or Consequences, N.M.', 'The Night the Lights Went Out in Georgia']"
Kids of the Round Table,"['Excalibur', 'Quest for Camelot', 'Bloodsport II', 'Restoration', 'When We Were Kings']"
Home for the Holidays,"['The Good Mother', 'Twister', ""What's Cooking?"", 'The Family Stone', 'The Seven Year Itch']"
The Postman,False
The Confessional,"['Two Men in Manhattan', 'Hard Candy', 'Mystic River', 'Domestic Disturbance', 'The Crime of Padre Amaro']"
The Indian in the Cupboard,"['Flight of the Navigator', 'Little Nemo: Adventures In Slumberland', 'A Town Called Panic', 'The Iron Giant', 'Svampe']"
Eye for an Eye,"['Alice Sweet Alice', 'Hard Candy', 'Nick of Time', 'Carne', 'A Time to Kill']"
Mr. Holland's Opus,"['Rock School', 'Camp Rock', 'Waterland', 'Pennies from Heaven', 'The Fabulous Baker Boys']"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['Scary Movie', 'Boat Trip', 'Scary Movie 2', 'Julien Donkey-Boy', 'The Station Agent']"
Two If by Sea,"['Break Up', 'In Search of a Midnight Kiss', 'Landscape No. 2', 'The Naked Gun 33⅓: The Final Insult', 'On a Clear Day']"
Bio-Dome,"['Evelyn', 'The Specials', 'All Over Me', 'The American Astronaut', 'Harold and Maude']"
Lawnmower Man 2: Beyond Cyberspace,"['Flashback', 'The Lawnmower Man', 'Hero and the Terror', 'No Holds Barred', 'City Limits']"
Two Bits,"['Gone Baby Gone', 'Just Looking', 'Edges of the Lord', 'The Way Home', 'Boy']"
French Twist,"['She-Devil', 'Afterglow', 'Too Beautiful for You', 'Springtime in a Small Town', 'All Over the Guy']"
Friday,"['Next Friday', 'Friday After Next', 'Boyz n the Hood', 'A Home of Our Own', 'I Got the Hook Up']"
From Dusk Till Dawn,"['Full Tilt Boogie', 'Desperado', 'From Dusk Till Dawn 2: Texas Blood Money', 'Breaker! Breaker!', 'Fall Time']"
Fair Game,"['Shakedown', 'Terminal Velocity', 'The Crew', 'Showtime', 'Joe Versus the Volcano']"
Kicking and Screaming,"['Highball', 'Rachel, Rachel', 'Educating Rita', ""Trippin'"", 'Once Bitten']"
Les Miserables,"['Our Music', 'Breathless', 'A Woman Is a Woman', 'A Very Long Engagement', 'Enemy at the Gates']"
Bed of Roses,"['A Cure for Love', 'Jules and Jim', 'The Tiger and the Snow', 'CRAZY', 'The Go-Between']"
Big Bully,"['Driven To Kill', 'The Myth Of Fingerprints', 'Julien Donkey-Boy', 'Our Hospitality', ""The Courtship of Eddie's Father""]"
Screamers,"['Screamers: The Hunting', 'Aliens of the Deep', 'Howard the Duck', 'Carnosaur', 'From Beyond']"
Nico Icon,"['Life and Debt', 'Swastika', 'Dark Days', 'Mondo Cane', 'Storefront Hitchcock']"
The Crossing Guard,"[""Prizzi's Honor"", 'Assassination Tango', 'Killer', 'Message in a Bottle', 'Trouble Bound']"
The Juror,"['Mr. Brooks', 'La Cucaracha', 'Hollow Reed', 'The War of the Roses', 'Trial by Jury']"
The White Balloon,"['Andre', 'Doing Time on Maple Drive', 'The Day I Became a Woman', 'Ugly, Dirty and Bad', 'Lost Islands']"
Things to Do in Denver When You're Dead,"['Billy Bathgate', 'Rashomon', 'Mala Noche', '16 Years of Alcohol', 'Rich in Love']"
Antonia's Line,"['When the Wind Blows', 'The Secret of Santa Vittoria', 'The Hiding Place', 'The Life and Death of Colonel Blimp', 'The Teahouse of the August Moon']"
Once Upon a Time... When We Were Colored,"['Possible Loves', 'New York', 'Alfie', 'Crane World', 'Bigger Than the Sky']"
Last Summer in the Hamptons,"['Cockles and Muscles', 'Young Black Stallion', ""What's Cooking?"", 'Spider Baby', 'Household Saints']"
Angels and Insects,"['Green Dolphin Street', 'Firelight', 'That Hamilton Woman', 'A Summer Place', 'Separate Lies']"
White Squall,"['Dinotopia', 'Stealing Time', 'Raise the Titanic', 'Good Morning', 'Beautiful Thing']"
Dunston Checks In,"['Cockles and Muscles', 'Spider Baby', 'Flight of the Navigator', ""Monsieur  Hulot's Holiday"", ""What's Cooking?""]"
Black Sheep,False
Nick of Time,"['Union Station', 'A Time to Kill', ""Killer's Kiss"", 'Hard Candy', 'The Children of Leningradsky']"
The Journey of August King,"['David and Bathsheba', 'Restoration', 'Robin Hood: Men in Tights', 'The Sleepy Time Gal', 'The Fifth Musketeer']"
Mary Reilly,"['Dr. Jekyll and Mr. Hyde', 'House of Dark Shadows', 'I, Monster', 'Beautiful Joe', 'Final Analysis']"
Vampire in Brooklyn,"['Daybreakers', 'The Fantasticks', 'House of Dark Shadows', 'Sick: The Life and Death of Bob Flanagan, Supermasochist', 'BloodRayne']"
Beautiful Girls,"['Rare Birds', 'Mumford', 'Crush', 'The Ref', 'Ordinary Sinner']"
Broken Arrow,False
A Midwinter's Tale,"['How the Grinch Stole Christmas!', 'A Dennis the Menace Christmas', 'A Charlie Brown Christmas', 'What Would Jesus Buy?', 'Love Hina Christmas Special: Silent Eve']"
La Haine,"['Café au Lait', 'Assassin(s)', 'A Self-Made Hero', 'A Million to Juan', 'The Point!']"
Shopping,"['The Outlaw', 'Blue City', 'Billy Bathgate', 'Noise', 'Hell Up In Harlem']"
Heidi Fleiss: Hollywood Madam,"['Threesome', 'Bloodsport II', 'Home Alone 3', 'Thieves', 'Kurt & Courtney']"
City Hall,"['People I Know', 'The City', 'Gloria', 'WiseGirls', 'Street Smart']"
Bottle Rocket,"['The Royal Tenenbaums', 'I Always Wanted to Be a Gangster', 'Rashomon', 'The Bandit', 'Suicide Kings']"
Mr. Wrong,"['Next Stop Wonderland', 'If You Only Knew', 'Dawg', 'The Hi-Line', 'The Matchmaker']"
Unforgettable,"['The Naked City', 'Forever Mine', 'Lemming', 'Eyes of Laura Mars', ""Murphy's Law""]"
Happy Gilmore,"['Tin Cup', 'The Caddy', 'Big Daddy', 'Cooking With Stella', 'Miss Firecracker']"
The Bridges of Madison County,"['Bronco Billy', 'Play Misty for Me', 'Southern Comfort', 'White Hunter Black Heart', 'Old San Francisco']"
Nobody Loves Me,"['Eulogy', 'The Grass Harp', 'Julien Donkey-Boy', 'Our Hospitality', 'It Runs in the Family']"
Muppet Treasure Island,"['Treasure Island', 'Madison', 'Muppets from Space', 'Long John Silver', 'Treasure Island']"
Catwalk,"['The September Issue', 'Prêt-à-Porter', 'Trekkies 2', 'Shadow Company', 'The Legend of Leigh Bowery']"
Headless Body in Topless Bar,"['The Ref', 'Albino Alligator', 'Fun with Dick and Jane', 'Maximum Overdrive', 'Cop']"
Braveheart,"['1066: The Battle for Middle Earth', 'Admiral', 'Wings', 'Michael Collins', 'Cromwell']"
Taxi Driver,"['Mean Streets', ""Alice Doesn't Live Here Anymore"", 'The City', 'Deuces Wild', 'Milk and Honey']"
Rumble in the Bronx,"['Mr. Canton and Lady Rose', 'Police Story', 'Albuquerque', 'Project S', 'The Secret of My Success']"
Before and After,"['Chronicles', 'The Long Goodbye', 'Not Without My Daughter', 'Character', 'The Intended']"
Margaret's Museum,"['Picnic', 'OT: Our Town', 'The Spitfire Grill', ""When You Comin' Back, Red Ryder?"", 'Wisconsin Death Trip']"
Happiness Is in the Field,"['Empire of Passion', 'Used People', 'Wife', ""Another Man's Poison"", 'The Girl in the Park']"
Anne Frank Remembered,"['Naqoyqatsi', 'Trinity And Beyond: The Atomic Bomb Movie', 'Freedom Downtime', 'Barren Lives', ""Terror's Advocate""]"
The Young Poisoner's Handbook,"['La Ronde', 'Happenstance', 'Just Love Me', ""L'eclisse"", 'Now or Never']"
If Lucy Fell,"[""I'm with Lucy"", 'Maybe Baby', 'Wirey Spindell', 'Here Comes Mr. Jordan', 'Dedication']"
Steal Big Steal Little,"['Vagabond', 'The Syrian Bride', 'Lost Islands', ""I'll Be There"", ""The Courtship of Eddie's Father""]"
Race the Sun,"['Hiding Out', 'Graduation', 'Hometown Legend', 'Ernest Goes to School', 'The Curiosity of Chance']"
The Boys of St. Vincent,"['High Roller: The Stu Ungar Story', 'Ten Canoes', 'Beyond the Clouds', 'Molokai: The Story of Father Damien', ""Hachi: A Dog's Tale""]"
Boomerang,"['Martin Lawrence: You So Crazy', 'The Nanny Diaries', 'Giants and Toys', 'Picture Perfect', 'Tune in Tomorrow...']"
Chungking Express,"['In the Mood for Love', '2046', 'A Price Above Rubies', 'I Really Hate My Job', 'Junk Mail']"
The Star Maker,"['Cinema Paradiso', 'Firelight', ""Everybody's Fine"", 'Promised Land', 'The Escort']"
Flirting with Disaster,"['The Thing About My Folks', 'The Sum of Us', 'The Puffy Chair', 'The Love Letter', 'First Daughter']"
The Neverending Story III: Escape from Fantasia,"['The NeverEnding Story', 'Paperhouse', 'Bogus', 'Svampe', 'The Red Balloon']"
The Silences of the Palace,"['Gabbeh', 'A Rumor of Angels', 'Where Danger Lives', 'A Price Above Rubies', 'Happenstance']"
Jupiter's Wife,"['Better Than Chocolate', 'Class Action', 'Bless the Child', 'Irina Palm', 'Best Boy']"
Pie in the Sky,"['A Little Romance', 'Just Love Me', 'If You Only Knew', 'Angel', 'The Love Letter']"
Angela,"['Hard Candy', 'Hideous Kinky', 'Human Trafficking', 'Eve and the Fire Horse', 'The Butterfly']"
Frankie Starlight,"['Venice', 'The Big Parade', 'The Land Girls', 'The World of Suzie Wong', 'Turkish Delight']"
Jade,"['Nightwatch', 'Off Limits', 'Phantasm II', 'Thunderheart', 'Twilight']"
Nueba Yol,"['Raising Helen', 'The City', 'Man Push Cart', 'New York', 'The Nanny Diaries']"
Sonic Outlaws,"['Only the Strong Survive', 'Latcho Drom', 'Moog', 'Calle 54', 'Heavy Metal in Baghdad']"
Down Periscope,"['Jerry and Tom', 'Leatherheads', 'I Am Trying to Break Your Heart', 'Slam', 'The Maiden Heist']"
From the Journals of Jean Seberg,"['Shadows', 'The Song of Ceylon', 'JLG/JLG: Self-Portrait in December', 'Demon Lover Diary', 'Good Men, Good Women']"
Man of the Year,False
The Neon Bible,"['Possible Loves', 'Julien Donkey-Boy', 'Mon oncle Antoine', 'A Brief History of Time', 'Lightning Bug']"
Target,False
Up Close & Personal,"['The Way We Were', 'A Summer Place', 'Griffin & Phoenix', 'Notorious', 'Radio Inside']"
The Birdcage,"['I Think I Do', 'Missing', 'Trick', 'Labyrinth of Passion', 'The Next Best Thing']"
Virgin Mary,"['Tarzan the Fearless', 'To Kill a Priest', 'The Keys of the Kingdom', 'The Third Miracle', 'Flowers in the Attic']"
The Brothers McMullen,"[""She's the One"", 'Ash Wednesday', 'Sidewalks of New York', 'The Groomsmen', 'No Looking Back']"
Bad Boys,False
The Amazing Panda Adventure,"['Hard Candy', 'The Contractor', 'Young Black Stallion', 'Wildflowers', 'Napoleon and Samantha']"
The Basketball Diaries,"['Intervista', 'American Me', ""Jesus' Son"", 'More', 'Sugar Hill']"
An Awfully Big Adventure,"['Firelight', 'Anthony Adverse', 'French Cancan', 'Enchanted April', 'Four Last Songs']"
Amateur,"['Freeway II: Confessions of a Trickbaby', 'Flirt', 'Leaves of Grass', 'The Ice Harvest', 'Crane World']"
Apollo 13,"['Stranded', 'Memphis Belle', 'From the Earth to the Moon', 'Destination Tokyo', 'Moonshot, the Flight of Apollo 11']"
Rob Roy,"['Ugly, Dirty and Bad', 'The Price of Milk', 'The White Balloon', 'Graduation', 'The Hot Spot']"
The Addiction,"['Ms .45', 'New Rose Hotel', 'Vampyros Lesbos', 'Hangover Square', 'The Dunwich Horror']"
Batman Forever,"['Batman & Robin', 'Batman', 'Batman: Mask of the Phantasm', 'Batman Returns', 'Batman Beyond: Return of the Joker']"
Belle de Jour,"['Julie Johnson', 'Seventh Heaven', 'Pola X', 'Possible Loves', 'Bad Guy']"
Beyond Rangoon,"['Not Without My Daughter', 'Hostile Intentions', 'Sleeping with the Enemy', 'The Glass Menagerie', 'Final Analysis']"
Blue in the Face,"['Dangerous Game', 'Smoke', 'The Secret of My Success', 'Romantic Comedy', 'New Waterford Girl']"
Canadian Bacon,"['Swimming to Cambodia', 'Money Talks', 'La Région Centrale', 'The Comedians of Comedy', 'The Disorderly Orderly']"
Casper,"['Casper Meets Wendy', '13 Ghosts', ""Fathers' Day"", 'Shiloh', 'King of the Zombies']"
Clockers,"['Summer of Sam', 'Bad Lieutenant', 'Malcolm X', 'Mother', 'Jungle Fever']"
Congo,"['Krakatoa, East of Java', 'Intacto', 'G.I. Joe: The Rise of Cobra', 'Switchback', 'The Nines']"
Crimson Tide,"['The Peacekeeper', 'When Strangers Appear', 'Training Day', 'Bangkok Dangerous', 'Cargo 200']"
Crumb,"['Southern Comfort', 'The Devil and Daniel Johnston', 'Starting Over', ""David Holzman's Diary"", 'Cyrus']"
Desperado,"['Once Upon a Time in Mexico', 'From Dusk Till Dawn', 'Death Wish 4: The Crackdown', 'Never Die Alone', 'Spy Kids 3-D: Game Over']"
Devil in a Blue Dress,"['Tekkonkinkreet', 'Native Son', 'The Klansman', 'Kinatay', 'The Watermelon Woman']"
Die Hard: With a Vengeance,"['WiseGirls', 'Noise', 'Die Hard', 'The Hard Way', 'Laws of Attraction']"
The Doom Generation,"['Nowhere', 'Coonskin', 'Freeway II: Confessions of a Trickbaby', 'SubUrbia', 'Once a Thief']"
Feast of July,"['Katie Tippel', 'Gabbeh', 'Caught', 'Princess Caraboo', 'What Alice Found']"
First Knight,"['Knights of the Round Table', 'Lancelot of the Lake', 'Quest for Camelot', 'Jodhaa Akbar', 'Radio Inside']"
Free Willy 2 - The Adventure Home,"['Free Willy', 'Free Willy 3: The Rescue', 'Jonah: A VeggieTales Movie', 'Hot Shots! Part Deux', 'Orca: The Killer Whale']"
Hackers,"['The Computer Wore Tennis Shoes', '23', 'Antitrust', 'WarGames', 'The Spanish Prisoner']"
Jeffrey,"[""L'eclisse"", 'The Umbrella Woman', 'La Ronde', 'Washington Square', 'Noise']"
Johnny Mnemonic,"['Babylon A.D.', 'Sweepers', 'Strange Days', 'Assassination Tango', 'Nicotina']"
Judge Dredd,"['Ariel', 'Cobra', 'The Night Visitor', 'Life', 'Mad Max']"
Jury Duty,"['12 Angry Men', 'Groundhog Day', 'Ghosts of Mississippi', 'My Sex Life... or How I Got Into an Argument', 'Window to Paris']"
Kids,"['Between Your Legs', 'Sex and Death 101', 'Man, Woman and Beast', ""Let's Talk About Sex"", 'Just Looking']"
Living in Oblivion,"['Closet Land', 'Full Frontal', 'Lovely & Amazing', 'Swimming to Cambodia', 'Disaster Movie']"
Lord of Illusions,"['Love at Large', 'Angel Heart', 'Hell Night', 'The Forgotten One', 'Color of Night']"
Love & Human Remains,"['A Very Natural Thing', 'Wondrous Oblivion', 'To Cross the Rubicon', 'Bongwater', 'David and Bathsheba']"
Mad Love,False
Mallrats,"['Chasing Amy', 'Clerks II', 'An Evening with Kevin Smith', 'Jay and Silent Bob Strike Back', 'Dogma']"
Mighty Morphin Power Rangers: The Movie,"['Turbo: A Power Rangers Movie', 'Yu-Gi-Oh! The Movie', 'Dragonball Evolution', 'Red Sonja', 'Delgo']"
Moonlight and Valentino,"[""Prizzi's Honor"", 'French Cancan', 'Love Letter', 'The Fantasticks', 'Worth Winning']"
Mute Witness,"['Shadows', 'The Song of Ceylon', 'Inside Deep Throat', 'Buddy Buddy', 'Intervista']"
Nadja,"['The Devil Rides Out', 'House of Dark Shadows', 'Tainted', 'Hamlet', 'Cremaster 3']"
The Net,"['Saving Sarah Cain', 'New York', 'Julie Johnson', 'Fulltime Killer', 'A Brief Vacation']"
Nine Months,"['Carpool', 'The Last Man', 'Everybody Wants to Be Italian', 'Earth Girls Are Easy', 'Buying the Cow']"
Party Girl,"['What Price Hollywood?', 'Tarzan the Fearless', 'The Women', 'Saved!', 'Babes in Toyland']"
The Prophecy,"['The Prophecy 3: The Ascent', 'The Prophecy II', 'Faust', 'Made in Heaven', 'To the Devil a Daughter']"
Reckless,False
Safe,"['Flodder', 'The Big City', 'Mother', 'Antwone Fisher', 'My Neighbors the Yamadas']"
The Scarlet Letter,False
Showgirls,"[""I'm a Cyborg, But That's OK"", 'August Evening', 'Caught', 'Try Seventeen', 'Dance with Me']"
Smoke,"['Death Wish 3', 'Big Fan', 'Blue in the Face', 'Adam & Paul', 'Two Days']"
Something to Talk About,"['Funny Ha Ha', 'Eddie Murphy: Delirious', 'West', 'The Baby-Sitters Club', 'Husbands and Wives']"
Species,"['Death Machine', 'Without Warning', 'DNA', 'The Gorgon', 'Species II']"
The Stars Fell on Henrietta,"['Tulsa', 'On Deadly Ground', 'The Formula', 'I Really Hate My Job', 'Red Road']"
Strange Days,"['Twilight', 'Chelsea Walls', '11:14', 'Electra Glide in Blue', 'Beaufort']"
The Umbrellas of Cherbourg,"['Hideous Kinky', 'Just Bea', 'Children on Their Birthdays', 'The Children of Leningradsky', 'The Trip']"
The Tie That Binds,"['August Evening', 'La Ronde', ""I'm a Cyborg, But That's OK"", 'Ong Bak 2', 'I Wake Up Screaming']"
Three Wishes,"['The Designated Mourner', 'Traces of Red', 'Sommersby', 'The Dirt Bike Kid', 'Firewall']"
Total Eclipse,"['A Summer Place', 'The Fantasticks', 'Firelight', 'The Competition', 'Tropical Malady']"
"To Wong Foo, Thanks for Everything! Julie Newmar","['The Love Letter', 'The Adventures of Priscilla, Queen of the Desert', 'Romantic Comedy', 'New Waterford Girl', 'Dadetown']"
Under Siege 2: Dark Territory,"['Under Siege', 'Seven Days to Noon', 'Def-Con 4', 'The Art of War', 'Half Past Dead']"
Unstrung Heroes,"['The Big City', ""Morgan Stewart's Coming Home"", 'The Hanging Garden', 'Sweet Sixteen', 'Real Women Have Curves']"
Unzipped,"['Anne Frank Remembered', 'Catwalk', 'The Legend of Leigh Bowery', 'Left Behind III: World at War', 'Cool World']"
A Walk in the Clouds,"['The Secret of Santa Vittoria', 'Springtime in a Small Town', 'Mrs. Miniver', 'The Life and Death of Colonel Blimp', 'Angel']"
Waterworld,"['A Friend Is a Treasure', 'When Worlds Collide', 'Fire Down Below', 'Left Behind III: World at War', 'Beachhead']"
White Man's Burden,"['Native Son', 'Tekkonkinkreet', 'Devil in a Blue Dress', 'The Watermelon Woman', 'Sounder']"
Wild Bill,"['Calamity Jane', 'The Long Riders', 'The Paleface', 'The Plainsman', 'Gunfight at the O.K. Corral']"
The Browning Version,False
Bushwhacked,"['Money Talks', 'The Second Jungle Book: Mowgli & Baloo', 'Next Day Air', 'Across 110th Street', 'Kops']"
Burnt by the Sun,"['The Cookout', 'Home Among Strangers, a Stranger Among His Own', 'Still Walking', 'Unfinished Piece for Mechanical Piano', 'The Children of Leningradsky']"
Before the Rain,"['House of Fools', 'Three Came Home', 'Sundays and Cybele', 'Welcome to Dongmakgol', 'Rules of Engagement']"
Before Sunrise,"['Before Sunset', 'A Little Romance', 'Shanghai Express', 'The World of Suzie Wong', 'The Pirate Movie']"
Billy Madison,"['My Father and My Son', 'Little Big League', 'Dearest Relatives, Poisonous Relations', 'The Children of Leningradsky', 'Lonesome Jim']"
The Babysitter,"['I Hope They Serve Beer in Hell', 'Up and Down', 'Mirage', 'Baby Doll', 'La Ronde']"
Boys on the Side,"['The Best Man', 'The City', 'Mutual Appreciation', 'Naked in New York', 'The Last Days of Disco']"
The Cure,"[""Now You See Him, Now You Don't"", 'The Boy Who Could Fly', 'Aspen Extreme', 'Pentathlon', 'The Toy']"
Castle Freak,"['Cul-de-sac', 'Endangered Species', 'Haunted Castle', ""Don't Look Now"", 'High Spirits']"
Circle of Friends,"['Tadpole', 'The Big Squeeze', 'Ordinary Sinner', 'Loser', 'Peaceful Warrior']"
Clerks,"['Clerks II', 'Mallrats', 'An Evening with Kevin Smith', 'An Evening with Kevin Smith 2: Evening Harder', 'Dogma']"
Don Juan DeMarco,"['A Summer Place', 'Dr. T and the Women', 'French Cancan', 'The Fantasticks', 'Change of Habit']"
Disclosure,"['He Who Gets Slapped', 'The Other Man', 'Fatal Attraction', 'Mr. Brooks', 'Against All Odds']"
Dream Man,"['Black Rainbow', 'Double Jeopardy', 'Electra Glide in Blue', 'Direct Action', 'Black Ice']"
Drop Zone,"['The Marksman', 'The Wrong Arm of the Law', '23 Paces to Baker Street', 'Bulletproof', 'Squeeze']"
Destiny Turns on the Radio,"['Holiday', 'Bang, Boom, Bang', 'Tap', 'The Butterfly', 'Man with the Gun']"
Death and the Maiden,"['When Strangers Appear', 'The Dunwich Horror', 'The Other Man', 'Mr. Brooks', 'Spartan']"
Dolores Claiborne,"['Rashomon', 'Double Jeopardy', 'SPL: Kill Zone', 'Dead or Alive 2: Birds', 'Primal Fear']"
Dumb and Dumber,"['Party Girl', 'Three Men and a Little Lady', 'Yellow', 'The Last Man', 'How to Beat the High Co$t of Living']"
Eat Drink Man Woman,"['Good Men, Good Women', 'Shadows', 'The Living Room of the Nation', 'Sidewalks of New York', 'The Story of Qiu Ju']"
Exotica,"[""A Gentleman's Game"", 'Dancing at the Blue Iguana', 'The Adjuster', 'The Killing of a Chinese Bookie', 'Piccadilly']"
Exit to Eden,"['Age of Consent', 'Open Season 2', 'Heaven Knows, Mr. Allison', 'First Desires', 'Mediterraneo']"
Ed Wood,"['Blackadder Back & Forth', 'Speaking of Sex', 'Sleepy Hollow', 'In the Time of the Butterflies', 'The Dangerous Lives of Altar Boys']"
French Kiss,"['Angel', 'Valmont', 'Tango', 'Serious Moonlight', 'I Think I Do']"
Forget Paris,"['A Little Romance', 'Jules and Jim', 'Radio Inside', 'Under the Bridges', 'The Sum of Us']"
Far from Home: The Adventures of Yellow Dog,"['Shiloh', 'Old Yeller', 'The Dog Problem', 'To The Other Side', 'Watchers']"
A Goofy Movie,"['An Extremely Goofy Movie', 'Go Fish', 'Wishful Thinking', 'Rushmore', 'Heartbreakers']"
Hideaway,"['About Schmidt', 'Falling Down', 'The Fourth Man', 'Beautiful Creatures', 'Trauma']"
